projectId	bugNumer	date	login	assignmentType	eventId	commitSHA
8514	2731	2011-09-01T22:00:31.000Z	tenderlove	1	2917291	6f3c6992c529a09c8f8bfdb1f714bb8ff1e23300	
460078	492	2011-09-02T20:28:52.000Z	groner	1	3107421	7e1f364177111ba6cceac82f6c6bcc254448292b	
8514	2840	2011-09-03T22:20:18.000Z	fxn	1	2963070	0a38e2a5ce2eaf7393958721edbfcf2a7fe87334	
8514	2832	2011-09-04T18:42:57.000Z	arunagw	1	2971584	9066e3402548d365dc7cf2abda8e7cd64370675c	
8514	2847	2011-09-04T20:43:58.000Z	spastorino	1	2972906	a1fa756e17a2522d69a828ce59b801709483a34f	
8514	2828	2011-09-05T11:25:57.000Z	georg	1	3004457	21750122308a38cd2eaf9b46aa1789966eb8abd9	
8514	2755	2011-09-06T14:58:07.000Z	jonleighton	1	3022758	b24d668859c5836c0e3ed277b2022a1a39eb3f8e	
8514	2834	2011-09-06T15:34:32.000Z	jonleighton	1	3025284	9bde73ff72812f6f3c59ad97be6ca6c628e109ea	
8514	2882	2011-09-07T00:25:20.000Z	tenderlove	1	3046557	f6ced69a11cdff56c2e87b84e775ef09c6d999d1	
8514	1339	2011-09-07T22:06:42.000Z	tenderlove	1	3078475	834d429e849b590ee7a283909eda9affed065387	
8514	1555	2011-09-08T07:53:41.000Z	dmathieu	1	3084703	e9f48cdcf482c5a878267a18fb9ed352f5f30dea	
8514	2858	2011-09-10T17:29:50.000Z	fxn	1	3158272	e8e1911738ce990b55d068e603124572535baf5d	
8514	2435	2011-09-11T06:38:55.000Z	guilleiguaran	1	3210202	9279d1102c7d96810813cad0d0a666db0a549b1f	
460078	556	2011-09-12T16:56:02.000Z	igorminar	1	3314065	a2a830e2273f2cb114d1889d6dece171621b046c	
8514	3014	2011-09-14T03:05:46.000Z	guilleiguaran	1	3244769	9c7e8850073fdefa17367b8fec256257c31559bc	
8514	1489	2011-09-21T17:19:48.000Z	docunext	1	3514703	c070cc4ab41fd848fc72f19e7f99d75b1e1fd097	
460078	571	2011-09-23T18:36:09.000Z	tehek	1	3914148	c115fa99240a55e32e1fa39f037056df429be741	
8514	3020	2011-09-26T09:41:11.000Z	jonleighton	1	3596917	b838059817aca490f78e3bb74a070729270300db	
1795273	55	2011-09-26T14:30:09.000Z	josevalim	1	11252381	64d7878bc8aacf236f3b4e36f0a07d5955a76230	
8514	3104	2011-09-26T14:41:31.000Z	jonleighton	1	3603526	3b87c38d029c1626161a3e7699d40da3e789d7cb	
8514	2807	2011-09-26T17:14:16.000Z	jonleighton	1	3610005	b3407c86cfccd2cc6258b8879e91600fe25c6e48	
8514	3198	2011-10-03T15:31:11.000Z	josevalim	1	3831019	2120d7b838819e14b1722f68941d9c553563a6da	
8514	2025	2011-10-04T08:16:34.000Z	ksob	1	3858363	de942e5534a26942e261a7699adc28597c5ad1bc	
8514	2980	2011-10-05T00:07:25.000Z	josevalim	1	3891130	5711a35ad8faa3fb6d138b234cbe9acfad27a9a8	
8514	3207	2011-10-05T19:20:04.000Z	jonleighton	1	3919946	2e9e647fee59d975c9564d96c924d29ffe57f2a2	
460078	580	2011-10-07T21:32:05.000Z	dmanek	1	4011703	7aeb6a24f73bd1206640f358fd2630c81a807d44	
8514	2509	2011-10-12T07:24:13.000Z	josevalim	1	4127561	2cb2ca68b1973ddd202b094599521e4adc39a217	
8514	3335	2011-10-18T18:12:18.000Z	tenderlove	1	4377221	6a28c512e358a95bbabd24af9d2b0608df787158	
460078	605	2011-10-19T06:42:36.000Z	igorminar	1	4503399	e175db37c6f52bba4080efeec22a7120a896099e	
460078	89	2011-10-20T16:43:00.000Z	igorminar	1	4482950	fabc9f77a3fae10c2b8d9a9ad1541e827cc0390d	
8514	3427	2011-10-24T22:57:14.000Z	adrianpike	1	6326015	25007ad3fb3eac28a5f7ad3f6cd26eb33e14b4e0	
460078	621	2011-10-25T15:47:02.000Z	igorminar	1	4706227	d7ba5bc83ba9a8937384ea677331c5156ed6772d	
460078	619	2011-10-26T19:15:07.000Z	igorminar	1	4704167	d5ccabce600efb10092fdf0ae033c009026bf4cb	
8514	3440	2011-10-31T13:53:47.000Z	kennyj	1	5072609	fb0bf3c984fb088b5e436b25e6e5ae042e99c523	
8514	3247	2011-11-03T10:23:42.000Z	jonleighton	1	4989861	b4b178f7e9a00a0235574a773cdbc06fe856acaf	
