projectId	bugNumer	date	login	assignmentType	eventId	commitSHA
8514	5847	2012-04-26T14:17:16.000Z	avakhov	2	14226717	8cd14c0bc9f9429f03d1181912355d2f48b98157	
8514	3886	2012-04-29T20:17:37.000Z	carlosantoniodasilva	2	14403629	978598b6da75aa5b1b4d0b95b08596e2c609a94e	
8514	2973	2012-04-30T07:33:53.000Z	nfm	2	14418741	aa89bf78a209e5901d4417625048922b81d9eef1	
8514	4979	2012-05-01T20:07:46.000Z	bploetz	2	14541342	7d2df5fa62da393e429393ccd161d237117932fd	
8514	2510	2012-05-02T23:13:52.000Z	andhapp	2	14644286	56030506563352944fed12a6bb4793bb2462094b	
8514	6147	2012-05-06T02:55:04.000Z	erichmenge	2	14845401	bad119cae5ff6f3d27d82b9bdc9fc3cf4f67d271	
8514	5908	2012-05-13T04:26:41.000Z	guilleiguaran	2	15348966	a8cfaed3389de8c12ad8c8e363df13bd93354ab4	
8514	6272	2012-05-16T19:44:18.000Z	lest	2	15628340	4025efb53bc64e9b4c5b32bf7a68ef2632ffd888	
8514	6417	2012-05-22T04:31:54.000Z	avakhov	2	15955091	1447aca70f231f07eedee9572bd45da6a175262b	
460078	912	2012-05-22T21:22:12.000Z	igorminar	2	16029778	1d388676e3b97b6171fc498e82545bd437ee6fd1	
460078	979	2012-05-23T23:37:50.000Z	igorminar	2	16136402	989446eceee697b15ecb5df1f491dfbcff352256	
8514	5847	2012-05-29T16:09:40.000Z	martinploeger	2	16476888	9fa3926e4fd1c3c24a9ecc613b98cde6609f2975	
8514	5797	2012-05-30T18:39:23.000Z	schneems	2	16588781	1b075220ef59bbee59bb768acbc0d92e59ca38d6	
8514	6573	2012-06-01T14:21:55.000Z	nbibler	2	16751094	652500229747169615bb7db94d2b6ee46e424e7d	
8514	6591	2012-06-04T12:05:52.000Z	brunoadacosta	2	16875596	2186540f9160b47e075b9926d12d3a6843e95d31	
8514	6635	2012-06-10T17:05:15.000Z	ganeshkumar	2	17358072	4da1af7fc15c6508d327d205e3de3f8ef248da8f	
8514	2553	2012-06-10T20:51:36.000Z	frodsan	2	17363430	6cc5e9aa81870a8a4ef1582b34abfb4deff7d115	
460078	1037	2012-06-12T07:31:13.000Z	igorminar	2	17478527	74fa65ecb7c4e2df966a179952b35700912e065f	
460078	1037	2012-06-13T18:02:39.000Z	igorminar	2	17631887	0f44964e5e0f7e37d7fa3216bb10fd61fbf52ae2	
460078	1051	2012-06-15T21:21:54.000Z	btford	2	17852426	6593a3e0823f3c08079f05010f9628fc4503cd43	
8514	5990	2012-06-19T23:53:27.000Z	rafaelfranca	2	18119654	1f98493e4a3c53e53666ff740860b20dcd6d08ec	
8514	6400	2012-06-20T14:27:02.000Z	shaynekang	2	18172851	1bb2f5a8316c3e94b47b9cfb8fa519e1b1238869	
8514	6825	2012-06-27T18:16:19.000Z	masarakki	2	18761351	2076efed1ca4b5df3a7101c9a478d6149bb53297	
8514	3165	2012-08-23T18:51:38.000Z	frodsan	2	23260424	7bf9db529e69cd3cbcedddc0f9af752b0480d13c	
